Hundename,Original_Hundename,Score,EpiProgeny
Gillmhor Arrow of Pocklea,FTW Gillmhor Arrow of Pocklea,"3,25","Brufinn Keep Retrieving Doc, Dimh�jdens Jack Af Barney, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Labstratego Yellow River, Meadowlark Black Kite, Meadowlark Marigold, Meadowlark Mr Badger, Muschelsucher Clooney, Polarfischer Greg, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Sea-Croft Nimble, Searover Day Mackay, Searover Easy Sjakk, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Thorsvi Rock Creek, Vauhti-Noudon Vauhtineito, Wijmas Lilla My, Wijmas Mymlan, Winning Line's License to Kill, Zetastar Zesty Boy"
Killerisk Hero,Irl FTCh Killerisk Hero,"3,25","Carson vom Stecknitztal, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Deep Impact As Nike, Flying Flap Ears Ice Age, Hardrocks Blue Danube, Hillraisins Black Bertha, SE J(J)CH Hillus Drake, Hypnos Spectre, Lochmuir Casey, Mandylike's Porsche, Moorman's Lennie Mirak, Muschelsucher Clooney, Never change Gasper, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Polarfischer Greg, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Quickrunners Alan, Quickrunners August, Reedsweeper's Desna, Saku (FIN46719/07), Searover Cosys Karo, Searover Easy Sjakk, Searover Kellys Guns N'roses, Snowy Roxy vom Windbrunnen, SE LCH Streamlight's Ace Leon, Streamlight's Pearl Sandy, S?KH I VATTUMANNEN HUMLE, Vauhti-Noudon Vauhtineito, Waterfowler Ace"
Nidaros Chili,Nidaros Chili,"3,25","Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, NIINIVUOREN KULTA-KUTRI, Waterfowler Ace"
Moorman's Gentiana,SE JCH Moorman's Gentiana,"3,25","COSMIC COVER'S WIN CALL TO FIND OUT, Frankie's Rolle, Hillraisins Black Bertha, Huntrets Gott Mos, Huntrets Scilla, Limmerhultarna's Solstorm, Moorman's Lennie Mirak, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, S?KH I VATTUMANNEN HUMLE, Willowridge Five Star, Winning Line's License to Kill"
Tekell's Precious Brave Heart,DT(DRC)-/DT.JGD.(LCD)-/LUX.JGD./DT.VDH-CH. Tekell's Precious Brave Heart,"3,25","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kleo vom Fallenbergs-Hof"
Aska vom Fallenbergs-Hof,Aska vom Fallenbergs-Hof,"3,25","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Kleo vom Fallenbergs-Hof"
Fieldcourt Dancing Pioneer,Fieldcourt Dancing Pioneer,"3,25","Hillraisins Black Bertha, Huntrets Gott Mos, Huntrets Scilla, IVANTHES FIRST PLOPP, Limmerhultarna's Solstorm, Searover Ruffling Thea, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Streamlight's Pearl Sandy, Sven (SE21895/2015), Thorsvi Harris, Viltv�rdarns Unika Enya, Willowridge Five Star, Zetastar Zesty Boy"
Lisdrum Orchid of Copperbirch,FTAW Lisdrum Orchid of Copperbirch,"3,25","Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
Mandylike's Blissfull Bean,Mandylike's Blissfull Bean,"3,25","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Lafayette Tolley,FTCh Lafayette Tolley,"3,1875","Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, Eagle Owl's Osiris, Felice vom Lipperoder Bruch, Gr�fin von Westerholts Kastalia, Hh's On Duty Cronos, Hypnos Spectre, Kingsdale Meadow Dark, Kosta Kl�vers Bran, Labstratego Yellow River, Mandylike's Twinkle, Muschelsucher Clooney, Nanni-Nadalina von der Bleiburg, Never change Gasper, NIINIVUOREN MEREN-SALAISUUS, Pibiz Game Keeper, Raven vom Tor zur Egge, Ravenfly Arielle, Sea-Croft Kay's Iowa, Searover Day Mackay, Sven (SE21895/2015), Tealshead Bracken, Thorsvi Rock Creek"
Charway Ballywill Will,Gb CH Charway Ballywill Will,"3,125","Aaron from Elderberry Grove, Alerich of Trickster Hero, Alflasker Barni, As Game As Ermara, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Cassiopeia vom Hof F?rst, Charway Rainstorm, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Fulmarus Dumpy Boy, Gent Fynn from the Old Mansion House, Gismo vom G?nsried, Gulliver of Woodpecker's Lane, Gwendy's Gandalf, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Illko Wind in the Willows, Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley, Oliver von Obderhalden, Rosanan White Gold, Shadowvale's Tough Lady Hope, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Drakeshead Gypsy,FTCh Drakeshead Gypsy,"3,125","Batmoors' Apollo Lurgan, Caper Cailie's Ohio, Carson vom Stecknitztal, Charway Rainstorm, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Deep Impact As Nike, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Hardrocks Blue Danube, SE J(J)CH Hillus Drake, Hypnos Spectre, Lochmuir Casey, Mandylike's Porsche, Mandylike's Twinkle, Namusillan Tammikehr��j�, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Searover Cosys Karo, Searover Day Mackay, Searover Easy Sjakk, Searover Kellys Guns N'roses, Searover Ruffling Thea, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, S?KH I VATTUMANNEN HUMLE, Viltv�rdarns Galax, Wijmas Lilla My, Wijmas Mymlan, Willowridge G�sta-Berling, Willowyck Unite"
Dyra's Trip,DKBRCH DKJCH Dyra's Trip,"3,125","Carson vom Stecknitztal, Chilihunters Over Bridge, Chilihunters Over Trouble, Clinton vom Hembeck, Dimh�jdens Jack Af Barney, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Hardrocks Blue Danube, Labstratego Yellow River, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Porsche, Mandylike's Twinkle, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Snowy Roxy vom Windbrunnen, Zetastar Zesty Boy"
Tibea Tosh,GB FTCh  Tibea Tosh,3,"Alsn�sets Hagla's Midnattssol, Carson vom Stecknitztal, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Dimh�jdens Jack Af Barney, Eagle Owl's Osiris, Felice vom Lipperoder Bruch, Flying Flap Ears Duncan, Flying Flap Ears Ice Age, Hillraisins Black Bertha, Hunting High And Low B'mali, Mandylike's Porsche, Meadowlark Black Kite, Moorman's Lennie Mirak, Namusillan Tammikehr��j�, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Perdix Gundogs Englishman in New York, Polarfischer Greg, Quickrunners Alan, Quickrunners August, Raven vom Tor zur Egge, Searover Cosys Karo, Searover Ruffling Thea, Searover Sweet Flip Flop, Snowy Roxy vom Windbrunnen, Streamlight's Pearl Sandy, Thorsvi Harris, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Waterfowler Ace, Willowridge Five Star, Willowridge G�sta-Berling, Willowyck Unite"
J�germeister vom H�lser Bruch,J�germeister vom H�lser Bruch,3,"Ambra vom freien Blick, Aslan vom freien Blick, Doro�s Bennet Fellow for Life"
Excellent Flair vom Auerswalder Teich,Excellent Flair vom Auerswalder Teich,3,"Clausi von der Aacher Haag, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag"
Millcottage Pathfinder,FTCh Millcottage Pathfinder,3,"Glengad Dobby, IVANTHES FIRST PLOPP, Lochmuir Casey, Moorman's Lennie Mirak, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Tealshead Bracken"
Irish Coffee aus L�hlsbusch,Irish Coffee aus L�hlsbusch,3,"Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
Justlike Princess Lady Di,Justlike Princess Lady Di,3,"Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat"
Classical Star-Light,NO JCH LP SE JCH Classical Star-Light,"2,9375","Caper Cailie's Ohio, Eagle Owl's Osiris, Frankie's Rolle, Hunting High And Low B'mali, Huntrets Gott Mos, Huntrets Scilla, Hypnos Spectre, IVANTHES FIRST PLOPP, Labstratego Yellow River, Limmerhultarna's Solstorm, Middle River's Forest Harmony, Moorman's Lennie Mirak, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Ruffling Thea, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, S?KH I VATTUMANNEN HUMLE, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Willowridge Five Star, Winning Line's License to Kill"
Jayncourt Natural Star,SE U(U)CH Jayncourt Natural Star,"2,9375","Donna of Anny's Labs, Dumbledore of Anny's Labs, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Meta vom Barkendiek, Nothing Matters vom Auerswalder Teich, Yes we can Flic in France"
Styperson Grouse,FTCh Styperson Grouse,"2,875","Brufinn Keep Retrieving Doc, Cosmic Cover's Mill's Jaywalker, COSMIC COVER'S WIN CALL TO FIND OUT, Dimh�jdens Jack Af Barney, Frankie's Rolle, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Thorsvi Rock Creek, Winning Line's License to Kill"
Sparkfield Gavin,Sparkfield Gavin,"2,8125","Caper Cailie's Ohio, Eagle Owl's Osiris, Frankie's Rolle, Huntrets Gott Mos, Huntrets Scilla, Hypnos Spectre, IVANTHES FIRST PLOPP, Labstratego Yellow River, Limmerhultarna's Solstorm, Middle River's Forest Harmony, Moorman's Lennie Mirak, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Ruffling Thea, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, S?KH I VATTUMANNEN HUMLE, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Willowridge Five Star, Winning Line's License to Kill"
Willowyck Henman,FTCh Willowyck Henman,"2,75","Anthony Kenneth from Grannies Garden, Batmoors' Apollo Lurgan, Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, COSMIC COVER'S WIN CALL TO FIND OUT, Deep Impact As Nike, Dual's Hope Nicam, Gr�fin von Westerholts Kastalia, Kingsdale Meadow Dark, Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger, NIINIVUOREN MEREN-SALAISUUS, Sea-Croft Kay's Iowa, Searover Ruffling Thea, Splash of Water's Capercaillie, Splash of Water's Grouse, Sven (SE21895/2015), Thorsvi Harris, Thorsvi Rock Creek, Willowyck Unite, Winning Line's License to Kill"
Waterford Ganton,FTCh Waterford Ganton,"2,75","Batmoors' Apollo Lurgan, Dual's Hope Nicam, Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Swinbrook Twig,UK FTCh Swinbrook Twig,"2,75","Caper Cailie's Ohio, Charway Rainstorm, Chilihunters Game Glen, Chilihunters Pro Hazy, Deep Impact As Nike, Eagle Owl's Osiris, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Hypnos Spectre, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Labstratego Yellow River, Mandylike's Porsche, Mandylike's Twinkle, Moorman's Lennie Mirak, Namusillan Tammikehr��j�, Never change Gasper, Raven vom Tor zur Egge, Reedsweeper's Desna, Sea-Croft Nimble, Searover Day Mackay, Searover Easy Sjakk, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, Snowy Roxy vom Windbrunnen, Streamlight's Grappas Dexter, Sven (SE21895/2015), Thorsvi Harris, Viltv�rdarns Galax, Waterfowler Ace, Wijmas Lilla My, Wijmas Mymlan"
Gameflight Goss,Gameflight Goss,"2,75","Chilihunters Game Glen, Mandylike's Porsche, NIINIVUOREN KULTA-KUTRI, Waterfowler Ace"
Sandylands Gad-About,Eng SH CH Sandylands Gad-About,"2,75","Clausi von der Aacher Haag, Crooked Field Action, Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Donna of Anny's Labs, Dumbledore of Anny's Labs, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Kebrekato Millenium Star, KhylarCreek Entering Mach II, Ludanies Be Brave, Meta vom Barkendiek, Nothing Matters vom Auerswalder Teich, Pictorial Cenny, Riverflow Star Pleaser, Saskian Xino"
Emmawood Drake,FTCh Emmawood Drake,"2,75","Cliff vom Zwillbrocker Venn, Kosta Kl�vers Bran, Sea-Croft Kay's Iowa, Searover Day Mackay, Sven (SE21895/2015), Thorsvi Rock Creek"
Pollbear Rockpool,Pollbear Rockpool,"2,75","Dimh�jdens Jack Af Barney, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Middle River's Forest Harmony, Waterfowler Ace"
Lakedown Diawl Bach,DKFTCh GBFTW DKJCh SEJ(a)Ch Lakedown Diawl Bach,"2,75","Glengad Dobby, Kosta Kl�vers Bran, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Winning Line's License to Kill"
Iliadens Haimon,SNJCH Iliadens Haimon,"2,625","Alsn�sets Hagla's Midnattssol, Caper Cailie's Ohio, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Eagle Owl's Osiris, Frankie's Rolle, Hillraisins Black Bertha, Hunting High And Low B'mali, Huntrets Gott Mos, Hypnos Spectre, Limmerhultarna's Solstorm, Merjatuulian Wekkuli, Moorman's Lennie Mirak, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Saku (FIN46719/07), Sea-Croft Nimble, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Ruffling Thea, SE LCH Streamlight's Ace Leon, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Waterfowler Ace, Willowridge Five Star, Willowridge G�sta-Berling"
Cleeveway Nestle,Cleeveway Nestle,"2,625","Anthony Kenneth from Grannies Garden, Batmoors' Apollo Lurgan, Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, COSMIC COVER'S WIN CALL TO FIND OUT, Deep Impact As Nike, Dual's Hope Nicam, Gr�fin von Westerholts Kastalia, Kingsdale Meadow Dark, Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger, NIINIVUOREN MEREN-SALAISUUS, Sea-Croft Kay's Iowa, Searover Ruffling Thea, Splash of Water's Capercaillie, Splash of Water's Grouse, Sven (SE21895/2015), Thorsvi Rock Creek, Willowyck Unite, Winning Line's License to Kill"
Carolhill Quistador,Int. FTCH ChTa Carolhill Quistador,"2,625","Middle River's Forest Harmony, Polarfischer Greg, Quickrunners Alan, Quickrunners August"
Tabatha's Drifter At Dickendall,BISS CH Tabatha's Drifter At Dickendall JH,"2,5","Ambra vom freien Blick, Aslan vom freien Blick, Clausi von der Aacher Haag, Crooked Field Action, Doro�s Bennet Fellow for Life, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Sesam aus L�hlsbusch,Sesam aus L�hlsbusch,"2,5","Ambra vom freien Blick, Aslan vom freien Blick, Doro�s Bennet Fellow for Life, Iljoscha von der Perle der S�dpfalz, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Kleo vom Fallenbergs-Hof"
Cliff Hanger of Zampano,J Ch Cliff Hanger of Zampano,"2,5","Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
Ravone Yellow Rosie at Rocheby,Ravone Yellow Rosie at Rocheby,"2,5","Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
Delfleet Hawk,Delfleet Hawk,"2,5","IVANTHES FIRST PLOPP, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon"
Copperbirch Corona,Copperbirch Corona,"2,5","Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger"
Nidaros Tinker,Nidaros Tinker,"2,375","Alsn�sets Hagla's Midnattssol, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, NIINIVUOREN KULTA-KUTRI, Waterfowler Ace, Willowridge G�sta-Berling"
Shinshail Apache,GB FTCh Shinshail Apache,"2,375","Charway Rainstorm, Chilihunters Pro Hazy, Dual's Hope Nicam, Eagle Owl's Osiris, Felice vom Lipperoder Bruch, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Hardrocks Blue Danube, Huntrets Scilla, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, Meadowlark Black Kite, NIINIVUOREN MEREN-SALAISUUS, Ravenfly Arielle, Searover Day Mackay, Searover Ruffling Thea, Sirmakan Jitterbug, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Streamlight's Pearl Sandy, Viltv�rdarns Unika Enya, Waterfowler Ace, Wijmas Lilla My, Wijmas Mymlan, Willowyck Unite"
Greenbriar Solitaire,FTW Greenbriar Solitaire,"2,375","Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, Hh's On Duty Cronos, Hypnos Spectre, Kingsdale Meadow Dark, Kosta Kl�vers Bran, Labstratego Yellow River, Mandylike's Twinkle, Meadowlark Marigold, Meadowlark Mr Badger, Muschelsucher Clooney, Pibiz Game Keeper, Sea-Croft Kay's Iowa, Searover Day Mackay, Streamlight's Grappas Dexter, Sven (SE21895/2015), Tealshead Bracken, Thorsvi Rock Creek"
Searover Cosy,LPII LPIII LPELIT SE LCH SE JCH SE BCH Searover Cosy,"2,375","Huntrets Gott Mos, Huntrets Scilla, IVANTHES FIRST PLOPP, Searover Cosys Karo, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon"
Dyra's Boss,Dyra's Boss,"2,375","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Porsche, Mandylike's Twinkle, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Mandylike's Pretty Pride,Mandylike's Pretty Pride,"2,375","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Porsche, Mandylike's Twinkle, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Wetherlam Black Cherry of Charway,Wetherlam Black Cherry of Charway,"2,3125","Aaron from Elderberry Grove, Alerich of Trickster Hero, Alflasker Barni, As Game As Ermara, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Cassiopeia vom Hof F?rst, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Gismo vom G?nsried, Gwendy's Gandalf, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Lauterrinn's Dale Sir Wesley, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Rambo of Downfarm Ft.W.,Rambo of Downfarm Ft.W.,"2,3125","Bj�ragardens Timmy-Willie, Clinton vom Hembeck, Hunting High And Low B'mali, Mandylike's Porsche, Mandylike's Twinkle, Muistokas Rollo, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Sea-Croft Nimble"
Carnochway Daniel,FTCh Carnochway Daniel,"2,3125","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Huntrets Gott Mos, Huntrets Scilla, Labstratego Yellow River, Meadowlark Black Kite, Muschelsucher Clooney, Namusillan Tammikehr��j�, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Sea-Croft Nimble, Searover Cosys Karo, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Ruffling Thea, Searover Sweet Flip Flop, Vauhti-Noudon Vauhtineito, Willowyck Unite, Zetastar Zesty Boy"
Lettermore May,FTW Lettermore May,"2,3125","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Huntrets Gott Mos, Huntrets Scilla, Labstratego Yellow River, Meadowlark Black Kite, Muschelsucher Clooney, Namusillan Tammikehr��j�, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Sea-Croft Nimble, Searover Cosys Karo, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Ruffling Thea, Searover Sweet Flip Flop, Vauhti-Noudon Vauhtineito, Willowyck Unite, Zetastar Zesty Boy"
Warringah's Whortleberry,GB.Ch Warringah's Whortleberry,"2,25","Aaron from Elderberry Grove, As Game As Ermara, Black Hamlet L for Lake Shasta, Catch me if you can Happy Carlo, Gr�fin von Westerholts Kastalia, Grages Annalouisa, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Hh's On Duty Cronos, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, Kleo vom Fallenbergs-Hof"
Hawkmoors Webster,Hawkmoors Webster,"2,25","Aika vom Steindammer-Forst, Angel of Hope Arik, Armani Damon vom Asbrookdamm, Clausi von der Aacher Haag, Crooked Field Action, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Fulmarus Dumpy Boy, Hardscrabble Augusta, Judges Choice Cross my Heart, Saskian Xino"
Sandringham Bluff,Sandringham Bluff,"2,25","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Chilihunters Game Glen, Hunting High And Low B'mali, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Merjatuulian Wekkuli, Moorman's Lennie Mirak, Niinivuoren Aamu-Uninen, NIINIVUOREN KULTA-KUTRI, Saku (FIN46719/07), Sea-Croft Nimble, Searover Ruffling Thea, Sirmakan Jitterbug, Streamlight's Pearl Sandy, Vauhti-Noudon Vauhtineito, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Willowridge G�sta-Berling"
Streamlight's Searover Kitty,SE JCH Streamlight's Searover Kitty,"2,25","Frankie's Rolle, Labstratego Yellow River, Sea-Croft Kay's Iowa, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Sweet Flip Flop"
Starlight Fred of Dolwen,"Bundes-/Clubjgdsgr.'96 Dt-JCh., Dt-Ch Starlight Fred of Dolwen","2,25","Funny Oskar von Gugi's Kate, Gulliver of Woodpecker's Lane, Lauterrinn's Dale Sir Falk Freddy"
